Begin,End,m_inf,i_inf,a_inf,Mom Actions,m_mom,i_mom,a_mom,File
318.675,318.88,,,,momgrab,,,,011_08
318.675,318.925,,,,momgrab,,,,011_08
319.265,320.175,,L,,,,,,011_08
320.445,327.514,L,,,,,,,011_08
321.065,322.945,,,,momforce,,,,011_08
326.17,326.78,R,,,,,,,011_08
330.074,336.774,L,,,,,,,011_08
332.09,336.774,Both,,,,,,,011_08
332.09,344.48,R,,,,,,,011_08
338.084,340.67400000000004,,Both,,,,,,011_08
340.73400000000004,341.194,L,,,,,,,011_08
341.339,345.069,,L,,,,,,011_08
344.889,345.069,,,,momgrab,,,,011_08
344.889,345.129,,,,momgrab,,,,011_08
348.94,349.14,R,,,,,,,011_08
349.769,350.98900000000003,,L,,,,,,011_08
351.60400000000004,357.29400000000004,L,,,,,,,011_08
356.375,357.29400000000004,,Both,,,,,,011_08
356.375,358.185,,R,,,,,,011_08
356.665,358.185,,,,momforce,,,,011_08
359.124,362.964,L,,,,,,,011_08
359.855,360.715,,,,momforce,,,,011_08
365.83,374.95,R,,,,,,,011_08
368.519,374.95,Both,,,,,,,011_08
368.519,384.64,L,,,,,,,011_08
377.795,381.675,Both,,,,,,,011_08
379.32,380.4,,,,momgrab,,,,011_08
399.92,404.35,,,,momforce,,,,011_08
400.02,403.88,,,Both,,,,,011_08
400.159,403.88,,,Both,,,,,011_08
400.159,404.35,,,R,,,,,011_08
406.13,407.05,R,,,,,,,011_08
409.15,413.86,,,,momforce,,,,011_08
409.175,412.305,Both,,,,,,,011_08
411.185,412.305,,,Both,,,,,011_08
411.185,423.185,,,L,,,,,011_08
413.125,422.472,,,Both,,,,,011_08
424.05199999999996,424.142,R,,,,,,,011_08
425.86199999999997,427.092,,,R,,,,,011_08
425.88199999999995,426.25199999999995,,,,momforce,,,,011_08
427.72,428.83,L,,,,,,,011_08
428.12199999999996,428.83,Both,,,,,,,011_08
428.12199999999996,439.36400000000003,R,,,,,,,011_08
429.79,433.4,,,,momforce,,,,011_08
434.52,436.05,,,,momgrab,,,,011_08
435.56,436.05,Both,,,,,,,011_08
435.56,444.58,L,,,,,,,011_08
439.82,444.58,,,Both,,,,,011_08
439.82,449.72,,,R,,,,,011_08
442.62,443.03,,,,momforce,,,,011_08
443.76,444.61,,,,momgrab,,,,011_08
445.845,450.285,,,L,,,,,011_08
449.73,450.285,,,,momgrab,,,,011_08
449.73,450.36,,,,momgrab,,,,011_08
450.75,453.61,R,,,,,,,011_08
452.78,453.61,,,Both,,,,,011_08
452.78,458.97,,,L,,,,,011_08
453.18,458.97,,,,momforce,,,,011_08
453.18,465.15,,,,momforce,,,,011_08
455.235,464.788,,,Both,,,,,011_08
461.98,464.788,,,Both,,,,,011_08
461.98,464.98,,,L,,,,,011_08
465.57800000000003,471.418,R,,,,,,,011_08
465.92,471.418,,,,momforce,,,,011_08
465.92,472.43,,,,momforce,,,,011_08
471.88,472.43,,,Both,,,,,011_08
471.88,476.43,,,R,,,,,011_08
472.965,476.43,,,Both,,,,,011_08
472.965,477.455,,,L,,,,,011_08
476.5,477.455,,,,momgrab,,,,011_08
476.5,477.54,,,,momgrab,,,,011_08
178.674,201.891,R,,,,,,,012_08
179.74099999999999,201.891,Both,,,,,,,012_08
179.74099999999999,202.878,L,,,,,,,012_08
203.315,204.255,,,,momforce,,,,012_08
203.31900000000002,204.255,,,Both,,,,,012_08
203.31900000000002,208.791,,,L,,,,,012_08
203.56900000000002,208.791,,,Both,,,,,012_08
203.56900000000002,287.73,,,R,,,,,012_08
209.352,274.684,Both,,,,,,,012_08
273.448,274.684,,,,momgrab,,,,012_08
273.448,274.73,,,,momgrab,,,,012_08
275.905,291.59,,,L,,,,,012_08
288.48900000000003,291.59,Both,,,,,,,012_08
288.48900000000003,300.878,R,,,,,,,012_08
291.173,291.623,,,,momgrab,,,,012_08
301.703,302.95099999999996,,,R,,,,,012_08
303.36400000000003,306.79,R,,,,,,,012_08
307.9,308.35,,R,,momforce,,,,012_08
354.776,355.288,,,L,,,,,012_08
358.402,405.384,,,L,,,,,012_08
392.30800000000005,405.267,,,Both,,,,,012_08
404.348,405.267,,,,momgrab,,,,012_08
404.348,405.42900000000003,,,,momgrab,,,,012_08
417.874,418.773,,,,momforce,,,,012_08
417.87699999999995,418.773,,,Both,,,,,012_08
417.87699999999995,428.211,,,L,,,,,012_08
418.98400000000004,421.994,,,Both,,,,,012_08
421.039,421.994,,,,momgrab,,,,012_08
421.039,422.019,,,,momgrab,,,,012_08
424.67699999999996,428.207,,,,momforce,,,,012_08
441.56199999999995,442.75,,,R,,,,,012_08
441.67900000000003,442.75,,,Both,,,,,012_08
441.67900000000003,443.061,,,L,,,,,012_08
455.041,457.57099999999997,,,L,,,,,012_08
455.18,457.57099999999997,,,Both,,,,,012_08
455.18,457.65,,,R,,,,,012_08
457.05199999999996,457.65,,,,momgrab,,,,012_08
457.05199999999996,457.723,,,,momgrab,,,,012_08
458.848,459.57599999999996,R,,,,,,,012_08
460.281,464.44,,,L,,,,,012_08
469.027,469.49,,,L,,,,,012_08
483.019,483.153,,,,momforce,,,,012_08
483.029,483.153,,,Both,,,,,012_08
483.029,487.09,,,L,,,,,012_08
492.454,507.335,,R,,,,,,012_08
495.657,507.335,,Both,,,,,,012_08
