index,Begin,End,m,i,a,Mom Actions,File
388,383.405,393.791,R,,,,009_07
389,411.731,412.775,R,,,,009_07
390,416.324,438.031,,L,,,009_07
391,438.031,439.718,,Both,,,009_07
392,64.5,66.373,,,L,,010_07
393,66.373,66.391,,,,momforce,010_07
394,66.391,66.625,R,,,,010_07
395,66.625,71.672,,Both,,,010_07
395,71.672,72.429,,L,,,010_07
396,72.429,73.469,,,Both,,010_07
,73.469,87.881,,L,,,010_07
397,73.612,73.738,R,,,,010_07
398,73.738,76.087,,,,momgrab,010_07
,76.087,79.87,R,,,,010_07
399,80.322,84.264,,R,,,010_07
400,88.625,90.083,,,L,,010_07
401,91.666,93.719,,L,,,010_07
402,93.719,98.772,,Both,,,010_07
402,98.772,99.73100000000001,,R,,,010_07
403,99.73100000000001,100.8,Both,,,,010_07
404,99.822,102.38600000000001,,,,momforce,010_07
403,100.8,99.822,L,,,,010_07
,102.38600000000001,102.694,L,,,,010_07
405,105.215,105.323,,,,momgrab,010_07
406,105.323,106.198,,,Both,,010_07
406,106.198,106.52799999999999,,,L,,010_07
407,112.822,113.71700000000001,,,L,,010_07
408,113.71700000000001,114.96,,,,momforce,010_07
,114.96,119.98100000000001,,,L,,010_07
409,117.277,118.338,,R,,,010_07
410,118.338,119.49700000000001,,,,momgrab,010_07
,119.49700000000001,121.87,,R,,,010_07
411,120.803,123.561,,,,momforce,010_07
412,120.81299999999999,126.375,L,,,,010_07
413,122.402,126.375,Both,,,,010_07
413,126.375,126.53399999999999,R,,,,010_07
412,126.375,123.561,Both,,,,010_07
414,126.53399999999999,129.885,,,Both,,010_07
415,127.876,129.899,,,,momgrab,010_07
414,129.885,127.876,,,L,,010_07
,129.899,132.791,,,L,,010_07
416,130.217,136.13299999999998,,,R,,010_07
417,136.13299999999998,141.461,,Both,,,010_07
417,141.461,148.388,,L,,,010_07
418,141.627,153.062,,R,,,010_07
419,151.534,153.062,Both,,,,010_07
420,151.53799999999998,153.39600000000002,,,,momforce,010_07
418,153.062,148.388,,Both,,,010_07
419,153.062,151.53799999999998,L,,,,010_07
,153.39600000000002,164.584,L,,,,010_07
421,154.15200000000002,166.63299999999998,R,,,,010_07
422,166.63299999999998,168.967,,Both,,,010_07
,168.967,178.78900000000002,R,,,,010_07
423,172.832,176.794,,,L,,010_07
425,178.03599999999997,211.382,,L,,,010_07
426,179.80900000000003,185.173,,Both,,,010_07
427,185.62900000000002,206.19099999999997,R,,,,010_07
428,209.613,209.615,R,,,,010_07
429,209.615,219.801,,,,momforce,010_07
424,211.382,179.199,,,,momforce,010_07
430,219.801,221.199,Both,,,,010_07
,221.199,224.285,R,,,,010_07
430,221.199,236.585,L,,,,010_07
431,237.132,238.989,,L,,,010_07
432,241.416,241.696,L,,,,010_07
433,242.21400000000003,246.266,,L,,,010_07
434,246.266,246.267,,,Both,,010_07
435,246.267,247.493,,,,momforce,010_07
,247.493,253.56799999999998,,L,,,010_07
435,247.493,247.495,,,,momforce,010_07
436,249.545,250.17700000000002,R,,,,010_07
437,250.518,281.506,,R,,,010_07
438,281.506,289.973,,,Both,,010_07
,289.973,321.161,,R,,,010_07
439,294.906,326.712,,L,,,010_07
440,326.712,326.76599999999996,Both,,,,010_07
440,326.76599999999996,328.142,R,,,,010_07
441,328.142,335.76,Both,,,,010_07
,335.76,403.124,R,,,,010_07
442,336.546,338.32099999999997,,L,,,010_07
443,339.53,355.301,,L,,,010_07
444,355.301,356.564,,,,momgrab,010_07
444,356.564,356.69599999999997,,,,momgrab,010_07
445,360.423,360.426,,L,,,010_07
446,360.426,361.79699999999997,,,,momforce,010_07
,361.79699999999997,406.38300000000004,,L,,,010_07
447,368.30400000000003,373.001,,,,momgrab,010_07
448,403.72,409.01300000000003,,R,,,010_07
449,409.01300000000003,409.668,,,Both,,010_07
,409.668,442.685,,R,,,010_07
450,28.822,39.893,,,R,,011_07
451,39.893,45.34,,Both,,,011_07
452,43.059,44.055,,,,momgrab,011_07
,44.055,45.34,,Both,,,011_07
453,44.62,45.34,,,,momgrab,011_07
,45.34,49.11600000000001,,,R,,011_07
454,48.401,49.11600000000001,,,,momgrab,011_07
455,49.638999999999996,49.818000000000005,R,,,,011_07
456,49.818000000000005,52.693999999999996,,,,momgrab,011_07
,52.693999999999996,63.383,R,,,,011_07
457,53.855,54.101000000000006,,,L,,011_07
